_timestamp,Sample Generation,train/loss,train/step_loss,lr,_runtime,_step,val/loss,iter
1779601650.1732662,,1.100525975227356,,0.0007708228984017721,364.2661485,182,1.4648517370224,1750.0
1779601650.332426,,,1.1766481399536133,,364.4248175,183,,1750.0
1779601651.899023,,,1.1755170822143555,,365.9913531,184,,1760.0
1779601653.4631972,,,1.1672143936157227,,367.5550201,185,,1770.0
1779601654.9591072,,,1.1718618869781494,,369.0516178,186,,1780.0
1779601656.588434,,,1.1580935716629028,,370.6805803,187,,1790.0
1779601658.1700573,,,1.182028889656067,,372.2624287,188,,1800.0
1779601659.7561846,,,1.1611939668655396,,373.8486409,189,,1810.0
1779601661.3453174,,,1.1717801094055176,,375.4376304,190,,1820.0
1779601662.9314003,,,1.1490682363510132,,377.0237647,191,,1830.0
1779601664.5198913,,,1.1444942951202393,,378.6122199,192,,1840.0
1779601666.109376,,,1.1800243854522705,,380.2016618,193,,1850.0
1779601667.693184,,,1.1863893270492554,,381.7855135,194,,1860.0
1779601669.286432,,,1.1711610555648804,,383.3794715,195,,1870.0
1779601670.8835502,,,1.1861112117767334,,384.9759367,196,,1880.0
1779601672.4739854,,,1.1630356311798096,,386.5666504,197,,1890.0
1779601674.0645885,,,1.1427557468414307,,388.1564115,198,,1900.0
1779601675.6529298,,,1.150132417678833,,389.7459112,199,,1910.0
1779601677.2442274,,,1.131754755973816,,391.3365541,200,,1920.0
1779601678.830305,,,1.1569000482559204,,392.9267636,201,,1930.0
1779601680.4242146,,,1.1178789138793945,,394.5170953,202,,1940.0
1779601682.01205,,,1.1397477388381958,,396.1088941,203,,1950.0
1779601683.6048436,,,1.1613134145736694,,397.6971729,204,,1960.0
1779601685.1927629,,,1.1464645862579346,,399.2851796,205,,1970.0
1779601686.7844548,,,1.1400878429412842,,400.8767829,206,,1980.0
1779601688.3840058,,,1.138909101486206,,402.4763339,207,,1990.0
1779601710.3459682,,1.0569801330566406,,0.0007054142744895884,424.4382958,208,1.4793124198913574,2000.0
1779601710.5115557,,,1.1351934671401978,,424.6044038,209,,2000.0
1779601712.1014123,,,1.1491057872772217,,426.1937507,210,,2010.0
1779601713.6962264,,,1.1232242584228516,,427.7886953,211,,2020.0
1779601715.2910473,,,1.1437106132507324,,429.3833779,212,,2030.0
