_timestamp,train/step_loss,val/loss,lr,_step,_runtime,train/loss,Sample Generation,iter
1779611098.1594205,1.2670841217041016,,,242,661.4935156,,,2320.0
1779611100.1143181,1.2284090518951416,,,243,663.452364,,,2330.0
1779611102.075619,1.2187150716781616,,,244,665.4097144,,,2340.0
1779611104.0363944,1.2289323806762695,,,245,667.3707804,,,2350.0
1779611105.9917212,1.2364892959594727,,,246,669.3275915,,,2360.0
1779611107.9129758,1.2277710437774658,,,247,671.2504564,,,2370.0
1779611109.686017,1.2250030040740967,,,248,673.020777,,,2380.0
1779611111.6098995,1.249805212020874,,,249,674.9522012,,,2390.0
1779611113.4628541,1.1893455982208252,,,250,676.7974531,,,2400.0
1779611115.3828447,1.2385330200195312,,,251,678.7176061,,,2410.0
1779611117.3839684,1.206718921661377,,,252,680.7187355,,,2420.0
1779611119.23709,1.2490830421447754,,,253,682.5716906,,,2430.0
1779611121.1396623,1.2177574634552002,,,254,684.4743475,,,2440.0
1779611123.1213248,1.2351921796798706,,,255,686.4562576,,,2450.0
1779611125.0794654,1.2082059383392334,,,256,688.4155609,,,2460.0
1779611127.041267,1.2559804916381836,,,257,690.375869,,,2470.0
1779611128.9996681,1.2185633182525635,,,258,692.3337635,,,2480.0
1779611130.9559715,1.2093214988708496,,,259,694.2908481,,,2490.0
1779611154.4211473,,1.4800840616226196,0.000564423209907245,260,717.7556989,1.1165939569473267,,2500.0
1779611154.6043208,1.2280144691467285,,,261,717.9397961,,,2500.0
1779611156.4645183,1.1939617395401,,,262,719.7986137,,,2510.0
1779611158.3212223,1.2296648025512695,,,263,721.6558223,,,2520.0
1779611160.3041022,1.2073867321014404,,,264,723.6391911,,,2530.0
1779611162.2883725,1.2272347211837769,,,265,725.6224677,,,2540.0
1779611164.1422327,1.2158974409103394,,,266,727.4772097,,,2550.0
1779611166.1404772,1.2149217128753662,,,267,729.4750807,,,2560.0
1779611168.0186658,1.2115319967269897,,,268,731.3527611,,,2570.0
1779611169.9104426,1.2016727924346924,,,269,733.2450407,,,2580.0
1779611171.8454833,1.1847134828567505,,,270,735.1795785,,,2590.0
1779611173.7197654,1.1791514158248901,,,271,737.0538608,,,2600.0
1779611175.7070084,1.250085473060608,,,272,739.042051,,,2610.0
1779611177.600629,1.2245755195617676,,,273,740.9347242,,,2620.0
1779611179.5665262,1.2329332828521729,,,274,742.901225,,,2630.0
1779611181.551861,1.20218825340271,,,275,744.8869445,,,2640.0
1779611183.4872859,1.203962802886963,,,276,746.821768,,,2650.0
1779611185.425866,1.2161171436309814,,,277,748.7609877,,,2660.0
1779611187.362289,1.223836898803711,,,278,750.6979192,,,2670.0
1779611189.3005233,1.2049332857131958,,,279,752.6346186,,,2680.0
1779611191.2404969,1.2000186443328857,,,280,754.575124,,,2690.0
1779611193.1757312,1.1967360973358154,,,281,756.5105112,,,2700.0
1779611195.115571,1.1868064403533936,,,282,758.4501754,,,2710.0
1779611197.0506856,1.2202391624450684,,,283,760.3851512,,,2720.0
1779611198.9926066,1.1790668964385986,,,284,762.326702,,,2730.0
1779611200.9387758,1.1927473545074463,,,285,764.2733761,,,2740.0
1779611224.9704375,,1.4733293056488037,0.0004924552772419723,286,788.3050948,1.0869518518447876,,2750.0
1779611225.1602805,1.1760358810424805,,,287,788.4946837,,,2750.0
1779611227.006783,1.1928927898406982,,,288,790.3415573,,,2760.0
1779611228.8544261,1.1929609775543213,,,289,792.1899293,,,2770.0
1779611230.7095685,1.197941541671753,,,290,794.0436638,,,2780.0
1779611232.5559115,1.1739542484283447,,,291,795.8905119,,,2790.0
1779611234.4867246,1.2017934322357178,,,292,797.8222673,,,2800.0
1779611236.4133604,1.169994831085205,,,293,799.7508055,,,2810.0
1779611238.37261,1.1770751476287842,,,294,801.7067053,,,2820.0
1779611240.3266401,1.1887145042419434,,,295,803.6607355,,,2830.0
1779611242.312098,1.1778018474578857,,,296,805.6461933,,,2840.0
1779611244.2919896,1.175229549407959,,,297,807.6300836,,,2850.0
1779611246.2799497,1.165236234664917,,,298,809.6144221,,,2860.0
1779611248.26206,1.1748285293579102,,,299,811.5971775,,,2870.0
1779611250.247221,1.1850794553756714,,,300,813.5818216,,,2880.0
1779611252.233464,1.1999984979629517,,,301,815.5680667,,,2890.0
1779611254.2160914,1.1674569845199585,,,302,817.5514396,,,2900.0
1779611256.1989915,1.1723620891571045,,,303,819.533656,,,2910.0
1779611258.170437,1.1869163513183594,,,304,821.5077167,,,2920.0
1779611260.153335,1.1760483980178833,,,305,823.4894151,,,2930.0
1779611262.1340396,1.1875425577163696,,,306,825.4702549,,,2940.0
1779611264.1097205,1.1637582778930664,,,307,827.4482956,,,2950.0
1779611266.0955935,1.174351692199707,,,308,829.4302092,,,2960.0
1779611268.0694249,1.1480848789215088,,,309,831.4035203,,,2970.0
1779611270.0491877,1.1755616664886475,,,310,833.383609,,,2980.0
1779611272.0286963,1.179492712020874,,,311,835.3627917,,,2990.0
1779611295.7150187,,1.47774338722229,0.0004219625860160354,312,859.0518358,1.056929111480713,,3000.0
1779611295.9029698,1.1769626140594482,,,313,859.2377395,,,3000.0
1779611297.712703,1.1655070781707764,,,314,861.0475112,,,3010.0
1779611299.675294,1.1729824542999268,,,315,863.0128789,,,3020.0
1779611301.5705583,1.1619398593902588,,,316,864.9052937,,,3030.0
1779611303.4675045,1.1715145111083984,,,317,866.8025267,,,3040.0
1779611305.3637514,1.1952217817306519,,,318,868.6984895,,,3050.0
1779611307.2593174,1.167187213897705,,,319,870.5939204,,,3060.0
1779611309.1563556,1.1497209072113037,,,320,872.4904509,,,3070.0
1779611311.0557978,1.1390987634658813,,,321,874.3903981,,,3080.0
1779611312.9592586,1.1535297632217407,,,322,876.2947785,,,3090.0
1779611314.8577883,1.1897878646850586,,,323,878.19422,,,3100.0
1779611316.7600064,1.1742677688598633,,,324,880.0947876,,,3110.0
1779611318.658557,1.144223928451538,,,325,881.9926522,,,3120.0
1779611320.5585644,1.1623218059539795,,,326,883.8926596,,,3130.0
1779611322.4545195,1.1655510663986206,,,327,885.7897545,,,3140.0
1779611324.3543534,1.16476571559906,,,328,887.6900751,,,3150.0
1779611326.2546017,1.1359176635742188,,,329,889.5936072,,,3160.0
1779611328.159502,1.155948519706726,,,330,891.4941153,,,3170.0
1779611330.062764,1.1435747146606445,,,331,893.3968593,,,3180.0
1779611331.9633105,1.1280417442321777,,,332,895.297406,,,3190.0
1779611333.8637898,1.1429741382598877,,,333,897.1983898,,,3200.0
1779611335.7666101,1.1292588710784912,,,334,899.1007054,,,3210.0
1779611337.6724443,1.1628519296646118,,,335,901.0076451,,,3220.0
1779611339.5731425,1.1503092050552368,,,336,902.9079003,,,3230.0
1779611341.4769433,1.1398606300354004,,,337,904.8113884,,,3240.0
1779611365.456447,,1.481442928314209,0.00035475231739709885,338,928.7910486,1.0299875736236572,,3250.0
1779611365.6523457,1.1534079313278198,,,339,928.9870508,,,3250.0
1779611367.5770226,1.1370196342468262,,,340,930.911702,,,3260.0
1779611369.5045347,1.153638243675232,,,341,932.8391895,,,3270.0
1779611371.424703,1.1315028667449951,,,342,934.7592923,,,3280.0
1779611373.3484726,1.150780200958252,,,343,936.6831161,,,3290.0
1779611375.2771635,1.1639764308929443,,,344,938.6112587,,,3300.0
1779611377.2055552,1.0908775329589844,,,345,940.5396506,,,3310.0
1779611379.1310232,1.1492986679077148,,,346,942.4651184,,,3320.0
1779611381.0588946,1.1285459995269775,,,347,944.3933086,,,3330.0
1779611382.9819736,1.132969617843628,,,348,946.3165732,,,3340.0
1779611384.906633,1.1453238725662231,,,349,948.2411595,,,3350.0
1779611386.8299701,1.079786777496338,,,350,950.1649818,,,3360.0
1779611388.751443,1.166299819946289,,,351,952.0860427,,,3370.0
1779611390.6792028,1.140331506729126,,,352,954.0138018,,,3380.0
1779611392.6104658,1.1610488891601562,,,353,955.9450651,,,3390.0
1779611394.541802,1.1426125764846802,,,354,957.8758974,,,3400.0
1779611396.473727,1.129652500152588,,,355,959.8078224,,,3410.0
1779611398.4026217,1.1155078411102295,,,356,961.7367171,,,3420.0
1779611400.333298,1.0975353717803955,,,357,963.6678975,,,3430.0
1779611402.264801,1.1136436462402344,,,358,965.5994285,,,3440.0
1779611404.1962261,1.1359199285507202,,,359,967.5303213,,,3450.0
1779611406.1267517,1.1394274234771729,,,360,969.4617026,,,3460.0
1779611408.0597875,1.121212124824524,,,361,971.3948596,,,3470.0
1779611409.9914773,1.1405986547470093,,,362,973.3320995,,,3480.0
1779611411.931233,1.129234790802002,,,363,975.2658339,,,3490.0
1779611436.4939563,,1.4908134937286377,0.0002925475029450237,364,999.8290015,1.0037522315979004,,3500.0
1779611436.6966333,1.1286227703094482,,,365,1000.0323701,,,3500.0
1779611438.6578515,1.0750123262405396,,,366,1001.9925781,,,3510.0
1779611440.6225533,1.1110104322433472,,,367,1003.9575721,,,3520.0
1779611442.5842433,1.1118080615997314,,,368,1005.9183384,,,3530.0
1779611444.547713,1.1411278247833252,,,369,1007.8826317,,,3540.0
1779611446.5132382,1.1487183570861816,,,370,1009.8478423,,,3550.0
1779611448.4793456,1.1132562160491943,,,371,1011.813441,,,3560.0
1779611450.441716,1.1233974695205688,,,372,1013.7758112,,,3570.0
1779611452.4060936,1.158013105392456,,,373,1015.7401888,,,3580.0
1779611454.3674886,1.1189899444580078,,,374,1017.7015839,,,3590.0
1779611456.328304,1.1240485906600952,,,375,1019.6630524,,,3600.0
1779611458.290105,1.103062629699707,,,376,1021.6248752,,,3610.0
1779611460.2609873,1.1199517250061035,,,377,1023.5957834,,,3620.0
1779611462.2241418,1.1173651218414307,,,378,1025.5588435,,,3630.0
1779611464.188742,1.088538408279419,,,379,1027.5233784,,,3640.0
1779611466.152289,1.1201825141906738,,,380,1029.4868929,,,3650.0
1779611468.1120582,1.0946521759033203,,,381,1031.4488905,,,3660.0
1779611470.0783184,1.1046100854873657,,,382,1033.4130991,,,3670.0
1779611472.038894,1.0904617309570312,,,383,1035.3733282,,,3680.0
1779611474.0005372,1.1104755401611328,,,384,1037.335139,,,3690.0
1779611475.9618313,1.120347261428833,,,385,1039.2975984,,,3700.0
1779611477.9245448,1.081674575805664,,,386,1041.2594958,,,3710.0
1779611479.8875725,1.0806918144226074,,,387,1043.2223025,,,3720.0
1779611481.844651,1.1224782466888428,,,388,1045.1793538,,,3730.0
1779611483.8091125,1.0900177955627441,,,389,1047.1436899,,,3740.0
1779611507.765548,,1.4925967454910278,0.00023694285222843113,390,1071.0996434,0.9806278944015503,,3750.0
1779611507.9536803,1.1049785614013672,,,391,1071.2912767,,,3750.0
1779611509.8267038,1.1027014255523682,,,392,1073.1613735,,,3760.0
