val/loss,_timestamp,train/step_loss,Sample Generation,lr,_step,train/loss,iter,_runtime
,1779608136.7065728,1.1172692775726318,,,202,,1940.0,618.839756
,1779608138.8878276,1.1418712139129639,,,203,,1950.0,621.0201182
,1779608141.0639637,1.1650192737579346,,,204,,1960.0,623.1980804
,1779608143.2489593,1.1543437242507935,,,205,,1970.0,625.3819394
,1779608145.4297574,1.1461113691329956,,,206,,1980.0,627.5641208
,1779608147.6122572,1.147249460220337,,,207,,1990.0,629.7445479
1.4766452312469482,1779608174.545063,,,0.0007054142744895884,208,1.0569815635681152,2000.0,656.6781314
,1779608174.7613325,1.1338149309158325,,,209,,2000.0,656.8939505
,1779608176.8493016,1.1466505527496338,,,210,,2010.0,658.9820976
,1779608178.9389212,1.1227149963378906,,,211,,2020.0,661.0717242
,1779608181.0296779,1.1531962156295776,,,212,,2030.0,663.162472
,1779608183.12123,1.0983326435089111,,,213,,2040.0,665.254026
,1779608185.2101839,1.1442670822143555,,,214,,2050.0,667.3438891
,1779608187.3064008,1.1286733150482178,,,215,,2060.0,669.4386913
,1779608189.402905,1.1399729251861572,,,216,,2070.0,671.5351956
,1779608191.4947703,1.1468180418014526,,,217,,2080.0,673.6276092
,1779608193.716404,1.1008291244506836,,,218,,2090.0,675.8491996
,1779608195.8204246,1.1387450695037842,,,219,,2100.0,677.9532187
,1779608197.9283993,1.1358392238616943,,,220,,2110.0,680.0612473
,1779608200.0424767,1.1460877656936646,,,221,,2120.0,682.175354
,1779608202.1581166,1.1415551900863647,,,222,,2130.0,684.2912219
,1779608204.4156706,1.1007107496261597,,,223,,2140.0,686.5486473
,1779608206.570966,1.1142654418945312,,,224,,2150.0,688.7038323
,1779608208.7210484,1.1305351257324219,,,225,,2160.0,690.8533389
,1779608210.871518,1.125096082687378,,,226,,2170.0,693.0038085
,1779608213.0241838,1.104569911956787,,,227,,2180.0,695.1571391
,1779608215.1739259,1.1121909618377686,,,228,,2190.0,697.3074462
