_timestamp,train/step_loss,Sample Generation,lr,_step,iter,_runtime,val/loss,train/loss
1779604518.6380863,0.9906906485557556,,,263,2520.0,745.1415031,,
1779604520.535542,1.003251552581787,,,264,2530.0,747.0423281,,
1779604522.4377432,0.9980653524398804,,,265,2540.0,748.9408099,,
1779604524.3407507,0.9939389228820801,,,266,2550.0,750.8441216,,
1779604526.2411292,1.0014530420303345,,,267,2560.0,752.7448854,,
1779604528.141998,1.0004029273986816,,,268,2570.0,754.6450648,,
1779604530.0482419,1.0103785991668701,,,269,2580.0,756.5513086,,
1779604531.957966,1.001922369003296,,,270,2590.0,758.4610328,,
1779604533.8597014,1.018655776977539,,,271,2600.0,760.3632717,,
1779604535.7659283,0.9966617226600647,,,272,2610.0,762.2695011,,
1779604537.6673334,0.9822291135787964,,,273,2620.0,764.1709105,,
1779604539.5784664,0.9858931303024292,,,274,2630.0,766.0815332,,
1779604541.4813302,0.9977608323097229,,,275,2640.0,767.9890568,,
1779604543.39521,0.9800928831100464,,,276,2650.0,769.9046227,,
1779604545.3156025,0.9657490253448486,,,277,2660.0,771.8191759,,
1779604547.219578,0.9748139381408691,,,278,2670.0,773.7233612,,
1779604549.1275876,0.9668124318122864,,,279,2680.0,775.6311068,,
1779604551.03437,0.9543241262435913,,,280,2690.0,777.5379402,,
1779604552.9417965,0.9455070495605469,,,281,2700.0,779.4453713,,
1779604554.8522773,0.967307448387146,,,282,2710.0,781.3558484,,
1779604556.7597852,0.9706090688705444,,,283,2720.0,783.262852,,
1779604558.6682026,0.9572270512580872,,,284,2730.0,785.1712695,,
1779604560.5710497,0.9705425500869751,,,285,2740.0,787.0789053,,
1779604586.715412,,,0.0004924552772419723,286,2750.0,813.2200612,1.537907600402832,0.834209680557251
1779604586.904264,0.9674428701400757,,,287,2750.0,813.4076803,,
1779604588.7213514,0.9623194336891174,,,288,2760.0,815.2252001,,
1779604590.5447881,0.939048171043396,,,289,2770.0,817.0478551,,
1779604592.4922278,0.9754548072814941,,,290,2780.0,818.9957996,,
1779604594.3943818,0.9887746572494507,,,291,2790.0,820.8987013,,
1779604596.219379,0.9484078288078308,,,292,2800.0,822.7224458,,
1779604598.2544413,0.9557256698608398,,,293,2810.0,824.7601859,,
1779604600.2793918,0.9833306074142456,,,294,2820.0,826.7851645,,
1779604602.251783,0.9578889608383179,,,295,2830.0,828.7558478,,
1779604604.1101787,0.9889611601829529,,,296,2840.0,830.6137515,,
1779604605.951606,0.9327441453933716,,,297,2850.0,832.458508,,
1779604607.8729613,0.9668800830841064,,,298,2860.0,834.3766087,,
1779604609.786057,0.9595779180526733,,,299,2870.0,836.2898835,,
1779604611.702979,0.9611215591430664,,,300,2880.0,838.2067587,,
1779604613.6238194,0.9602993726730347,,,301,2890.0,840.1273638,,
1779604615.5460443,0.9439327716827393,,,302,2900.0,842.0496178,,
1779604617.4667592,0.9491682648658752,,,303,2910.0,843.969826,,
1779604619.3801687,0.9717258214950562,,,304,2920.0,845.8843498,,
1779604621.3058658,0.944873571395874,,,305,2930.0,847.8095686,,
1779604623.227903,0.9397408366203308,,,306,2940.0,849.7316616,,
1779604625.1492453,0.9464177489280701,,,307,2950.0,851.6532452,,
1779604627.0732932,0.9330900311470032,,,308,2960.0,853.576865,,
1779604628.995521,0.9157033562660217,,,309,2970.0,855.4990993,,
1779604630.9205174,0.9532648324966431,,,310,2980.0,857.4241877,,
1779604632.842979,0.9305755496025085,,,311,2990.0,859.3466056,,
1779604658.8974676,,,0.0004219625860160354,312,3000.0,885.4043306,1.5626928806304932,0.7863540649414062
1779604659.0899732,0.9373540282249451,,,313,3000.0,885.5940603,,
