val/loss,_timestamp,train/step_loss,_runtime,lr,iter,_step,train/loss,Sample Generation
,1779552357.6118007,1.1542549133300781,443.9532912,,1860.0,194,,
,1779552359.182254,1.1299829483032227,445.5237447,,1870.0,195,,
,1779552360.7513943,1.169741153717041,447.0938926,,1880.0,196,,
,1779552362.322511,1.1679177284240723,448.6640014,,1890.0,197,,
,1779552363.892426,1.126259446144104,450.2344221,,1900.0,198,,
,1779552365.4642048,1.1492868661880493,451.8062011,,1910.0,199,,
,1779552367.0349123,1.1578940153121948,453.3764029,,1920.0,200,,
,1779552368.6061578,1.1285563707351685,454.9481538,,1930.0,201,,
,1779552370.176712,1.1147058010101318,456.5182025,,1940.0,202,,
,1779552371.7474217,1.1258668899536133,458.0889124,,1950.0,203,,
,1779552373.3175242,1.141148567199707,459.6596282,,1960.0,204,,
,1779552374.8881204,1.141944169998169,461.2300587,,1970.0,205,,
,1779552376.4586124,1.1390061378479004,462.800103,,1980.0,206,,
,1779552378.0277581,1.1416484117507935,464.3704239,,1990.0,207,,
1.4857600927352905,1779552398.5357747,,484.881784,0.0007054142744895884,2000.0,208,1.0456792116165161,
,1779552398.7021189,1.0974870920181274,485.0441158,,2000.0,209,,
,1779552400.2722878,1.116208553314209,486.6142827,,2010.0,210,,
,1779552401.8423934,1.1097090244293213,488.1838839,,2020.0,211,,
,1779552403.4126751,1.136797308921814,489.7546701,,2030.0,212,,
,1779552404.9835927,1.1292818784713745,491.3256027,,2040.0,213,,
,1779552406.5536926,1.1004124879837036,492.8962032,,2050.0,214,,
,1779552408.1247828,1.086275339126587,494.4667914,,2060.0,215,,
,1779552409.6948445,1.109971046447754,496.0372681,,2070.0,216,,
,1779552411.2622185,1.1095809936523438,497.6072631,,2080.0,217,,
,1779552412.8352768,1.1160413026809692,499.1767674,,2090.0,218,,
,1779552414.401993,1.1176786422729492,500.7470446,,2100.0,219,,
,1779552415.974492,1.119678258895874,502.3159827,,2110.0,220,,
,1779552417.5415266,1.1161279678344727,503.8864176,,2120.0,221,,
,1779552419.114809,1.1269207000732422,505.4562996,,2130.0,222,,
,1779552420.6850388,1.1202740669250488,507.0265294,,2140.0,223,,
,1779552422.2563195,1.1021373271942139,508.5978101,,2150.0,224,,
,1779552423.826169,1.1272612810134888,510.1682855,,2160.0,225,,
,1779552425.3963282,1.1188777685165405,511.7384466,,2170.0,226,,
,1779552426.9675834,1.1033978462219238,513.30958,,2180.0,227,,
